time	ymintpow	YQ_i_AKNP_chan_11	YQ_i_AKNP_chan_12	YQ_i_AKNP_chan_13	YQ_W_AKNP_11	YQ_AKPM_WT_11	offset_svrk	offset_akpm
147600.296875	99.77107238769531	2660546560.0	2983161344.0	1405725824.0	99.1041259765625	93.16354370117188	2.894838809967041	-30.165183544158936
148200.296875	99.77114868164062	2659947008.0	2983142912.0	1406384832.0	99.0992431640625	93.15786743164062	2.92022705078125	-30.14257848262787
148800.296875	99.77104187011719	2659399936.0	2983104512.0	1406929152.0	99.09423065185547	93.15328979492188	2.955453872680664	-30.122679471969604
149400.296875	99.77098083496094	2658674432.0	2983079936.0	1407725248.0	99.08831024169922	93.1485824584961	2.99276065826416	-30.09534478187561
150000.296875	99.77091217041016	2657870336.0	2983024640.0	1408519552.0	99.08089447021484	93.14301300048828	3.0179121494293213	-30.06613254547119
150600.296875	99.77094268798828	2657279232.0	2982955264.0	1409023104.0	99.07467651367188	93.13603973388672	3.0562548637390137	-30.0456702709198
151200.296875	99.77108764648438	2656505344.0	2982947328.0	1409915968.0	99.06877136230469	93.13018798828125	3.0839571952819824	-30.01590669155121
151800.296875	99.77104187011719	2655886592.0	2982875904.0	1410447296.0	99.06230163574219	93.1246566772461	3.1198387145996094	-29.99444007873535
152400.296875	99.7709732055664	2655135488.0	2982838784.0	1411232640.0	99.05580139160156	93.11856079101562	3.1595897674560547	-29.966577887535095
153000.296875	99.77100372314453	2654286080.0	2982797824.0	1412115200.0	99.04838562011719	93.1124496459961	3.1937637329101562	-29.93512451648712
153600.296875	99.7709732055664	2653518080.0	2982737152.0	1412844096.0	99.04103088378906	93.10547637939453	3.233471155166626	-29.907533526420593
154200.296875	99.77094268798828	2652695552.0	2982705664.0	1413718144.0	99.0340347290039	93.09857177734375	3.2681267261505127	-29.876798391342163
154800.296875	99.77100372314453	2651945216.0	2982703616.0	1414615040.0	99.02861022949219	93.09197998046875	3.3015613555908203	-29.847586154937744
155400.296875	99.77108764648438	2651217920.0	2982685184.0	1415409792.0	99.02264404296875	93.08689880371094	3.3420536518096924	-29.82010543346405
156000.296875	99.77100372314453	2650374656.0	2982673664.0	1416360000.0	99.0159912109375	93.08126831054688	3.3780012130737305	-29.787877202033997
156600.296875	99.7710952758789	2649564416.0	2982615808.0	1417143104.0	99.00836181640625	93.07502746582031	3.418227195739746	-29.758548736572266
157200.296875	99.7711181640625	2648625920.0	2982540032.0	1417998336.0	98.9990234375	93.06785583496094	3.461541175842285	-29.72513437271118
157800.296875	99.77100372314453	2647622656.0	2982450944.0	1418920320.0	98.9891128540039	93.05907440185547	3.494448184967041	-29.689425230026245
158400.296875	99.77105712890625	2646834944.0	2982355456.0	1419583808.0	98.98075103759766	93.04977416992188	3.531764507293701	-29.66218888759613
159000.296875	99.77101135253906	2646020864.0	2982300672.0	1420384832.0	98.97322082519531	93.04190063476562	3.570706367492676	-29.632538557052612
159600.296875	99.77102661132812	2645176832.0	2982259200.0	1421255296.0	98.96578979492188	93.03482055664062	3.618736505508423	-29.601266980171204
160200.296875	99.77100372314453	2644161280.0	2982209024.0	1422303616.0	98.95686340332031	93.02784729003906	3.659834384918213	-29.563653469085693
160800.296875	99.77102661132812	2643234816.0	2982099712.0	1423079104.0	98.94699096679688	93.01944732666016	3.694225788116455	-29.531583189964294
161400.296875	99.77108764648438	2642432000.0	2982007808.0	1423754688.0	98.93846130371094	93.01017761230469	3.737017869949341	-29.503750801086426
162000.296875	99.77092742919922	2641525504.0	2981949952.0	1424660544.0	98.93020629882812	93.00215911865234	3.7705633640289307	-29.470539093017578
162600.296875	99.77092742919922	2640753920.0	2981861120.0	1425317760.0	98.92208862304688	92.99439239501953	3.821110248565674	-29.443705081939697
163200.296875	99.77085876464844	2639724544.0	2981845248.0	1426480768.0	98.91400146484375	92.98677062988281	3.860726833343506	-29.40426766872406
163800.296875	99.77094268798828	2638822912.0	2981744128.0	1427251328.0	98.904541015625	92.97916412353516	3.900998115539551	-29.37282919883728
164400.296875	99.7709732055664	2637938432.0	2981679872.0	1428107008.0	98.89620971679688	92.97026824951172	3.9411697387695312	-29.340749979019165
165000.296875	99.77094268798828	2637067008.0	2981611264.0	1428932224.0	98.88784790039062	92.96244049072266	3.9752562046051025	-29.309332370758057
165600.296875	99.77100372314453	2636337920.0	2981572352.0	1429674560.0	98.88133239746094	92.95457458496094	4.021121501922607	-29.28241193294525
